x,value
352.815,41.8798078
353.46,41.980618
354.105,42.0604137
354.75,42.0856706
355.395,42.0701703
356.04,42.0333302
356.685,41.9957939
357.33,41.9889257
357.975,42.0199928
358.62,42.0720943
359.265,42.1354801
359.91,42.2212948
360.555,42.354379
361.2,42.5170266
361.845,42.6017799
362.49,42.5928801
363.135,42.5974043
363.78,42.654375
364.425,42.7623867
365.07,42.9197311
365.715,43.120373
366.36,43.3195977
367.005,43.4461093
367.65,43.4969097
368.295,43.4943928
368.94,43.4516061
369.585,43.3881381
370.23,43.3358878
370.875,43.311345
371.52,43.3131587
372.165,43.351505
372.81,43.4465834
373.455,43.5969619
374.1,43.7655678
374.745,43.926037
375.39,44.1001758
376.035,44.3013117
376.68,44.4838656
377.325,44.5905188
377.97,44.6173802
378.615,44.6119894
379.26,44.6306398
379.905,44.7211313
380.55,44.9087555
381.195,45.1419594
381.84,45.3302241
382.485,45.4544153
383.13,45.5529693
383.775,45.6540287
384.42,45.7476754
385.065,45.8114643
385.71,45.8558568
386.355,45.9153946
387,46.0236573
387.645,46.1816323
388.29,46.3284038
388.935,46.4287092
389.58,46.5260916
390.225,46.6771733
390.87,46.9007385
391.515,47.1500477
392.16,47.3586645
392.805,47.5429582
393.45,47.7975589
394.095,48.2243934
394.74,48.6533965
395.385,48.8530741
396.03,48.9459908
396.675,49.0351873
397.32,49.1376976
397.965,49.2638381
398.61,49.3989796
399.255,49.4871365
399.9,49.5272919
400.545,49.5760128
401.19,49.6734504
401.835,49.8220511
402.48,50.0066896
403.125,50.2149194
403.77,50.4620461
404.415,50.8990054
405.06,51.4761319
405.705,51.752574
406.35,51.8478068
406.995,51.9106513
407.64,51.9357627
408.285,51.9208693
408.93,51.8570279
409.575,51.7553408
410.22,51.6854295
410.865,51.7287787
411.51,51.9050824
412.155,52.1461781
412.8,52.3918682
413.445,52.6142485
414.09,52.75072
414.735,52.7702035
415.38,52.7490854
416.025,52.7889745
416.67,52.9276103
417.315,53.1523654
417.96,53.4125574
418.605,53.644165
419.25,53.8471263
419.895,54.1206235
420.54,54.4745271
421.185,54.7448297
421.83,54.8504887
422.475,54.8576243
423.12,54.8481725
423.765,54.8733643
424.41,54.9372713
425.055,55.0259446
425.7,55.1244669
426.345,55.2118165
426.99,55.2819799
427.635,55.3428302
428.28,55.4110822
428.925,55.5417324
429.57,55.8552663
430.215,56.3670764
430.86,56.763362
431.505,56.9103063
432.15,56.9358
432.795,56.9457851
433.44,56.9959375
434.085,57.1256112
434.73,57.3645879
435.375,57.6766884
436.02,57.9300068
436.665,58.0613011
437.31,58.125304
437.955,58.1956231
438.6,58.3294623
439.245,58.5657781
439.89,58.9112913
440.535,59.3075359
441.18,59.6698371
441.825,59.9836163
442.47,60.294033
443.115,60.5806972
443.76,60.7619944
444.405,60.8232275
445.05,60.8237564
445.695,60.8250781
446.34,60.8628403
446.985,60.9393742
447.63,61.0282162
448.275,61.1039574
448.92,61.1640501
449.565,61.2043072
450.21,61.1705856
450.855,61.0513857
451.5,60.9073968
452.145,60.7796179
452.79,60.6955847
453.435,60.67643
454.08,60.7228065
454.725,60.7966508
455.37,60.8544358
456.015,60.9099441
456.66,61.0008291
457.305,61.1298398
457.95,61.2495042
458.595,61.3138334
459.24,61.3329314
459.885,61.35585
460.53,61.4227896
461.175,61.5238813
461.82,61.6021743
462.465,61.6293087
463.11,61.6249247
